Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
female,unknown,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,71,71,74
female,group C,some college,standard,none,married,sometimes,yes,0.0,unknown,5 - 10,69,90,88
female,group B,master's degree,standard,none,single,sometimes,yes,4.0,school_bus,< 5,87,93,91
male,group A,associate's degree,free/reduced,none,married,never,no,1.0,unknown,5 - 10,45,56,42
male,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,76,78,75
female,group B,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,73,84,79
female,group B,some college,standard,completed,widowed,never,no,1.0,private,5 - 10,85,93,89
male,group B,some college,free/reduced,none,married,sometimes,yes,1.0,private,> 10,41,43,39
male,group D,high school,free/reduced,completed,single,sometimes,no,3.0,private,> 10,65,64,68
female,group B,high school,free/reduced,none,married,regularly,yes,0.0,private,< 5,37,59,50
male,group C,associate's degree,standard,none,unknown,sometimes,yes,1.0,private,5 - 10,58,54,52
male,group D,associate's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,40,52,43
female,group B,high school,standard,none,married,regularly,no,1.0,private,5 - 10,66,82,74
male,group A,some college,standard,completed,single,sometimes,yes,1.0,private,> 10,80,73,71
female,group A,master's degree,standard,none,divorced,sometimes,yes,2.0,private,< 5,48,53,58
female,group C,some high school,standard,none,married,sometimes,yes,0.0,private,unknown,69,75,78
male,group C,high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,88,89,86
female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,18,32,28
male,group C,master's degree,free/reduced,completed,single,sometimes,no,1.0,private,5 - 10,46,42,47
female,group C,associate's degree,free/reduced,none,married,never,yes,3.0,private,< 5,50,56,58
male,group D,high school,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,66,69,63
female,group B,some college,free/reduced,completed,married,sometimes,no,2.0,school_bus,5 - 10,65,75,70
